Question,Conclusion,Argument ID,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
Should entrapment be legalized,Entrapment should be legalized,A01001,in favor of,"if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban human cloning,We should ban human cloning,A01002,in favor of,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abandon marriage,We should abandon marriage,A01003,against,"marriage is the ultimate commitment to someone, if people want it they should be allowrd",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban naturopathy,We should ban naturopathy,A01004,against,it provides a useful income for some people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban fast food,We should ban fast food,A01005,in favor of,fast food should be banned because it is really bad for your health and is costly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we end the use of economic sanctions,We should end the use of economic sanctions,A01006,against,sometimes economic sanctions are the only thing that will get the corrupt governments to take action,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abolish capital punishment,We should abolish capital punishment,A01007,against,capital punishment is sometimes the only option to keep criminals from committing more crimes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we ban factory farming,We should ban factory farming,A01008,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Should we fight for the abolition of nuclear weapons,We should fight for the abolition of nuclear weapons,A01009,against,nuclear weapons help keep the peace in uncertain times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we prohibit school prayer,We should prohibit school prayer,A01010,against,it should be allowed if the student wants to pray as long as it is not interfering with his classes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we abolish the three-strikes laws,We should abolish the three-strikes laws,A01011,in favor of,three strike laws can cause young people to be put away for life without a chance to straight out their life,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Should the use of public defenders be mandatory,The use of public defenders should be mandatory,A01012,in favor of,the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we adopt an austerity regime,We should adopt an austerity regime,A01014,against,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we adopt gender-neutral language,We should adopt gender-neutral language,A01016,against,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we end affirmative action,We should end affirmative action,A01017,in favor of,affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we subsidize journalism,We should subsidize journalism,A01020,in favor of,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should payday loans be banned,Payday loans should be banned,A02001,in favor of,payday loans create a more impoverished society with their crazy payback rates.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should surrogacy be banned,Surrogacy should be banned,A02002,against,Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we cancel pride parades,We should cancel pride parades,A02003,against,there are parades for every group and it is discrimination not to give gays their parade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Should we ban cosmetic surgery for minors,We should ban cosmetic surgery for minors,A02004,in favor of,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Should we legalize prostitution,We should legalize prostitution,A02005,in favor of,we should legalize prostitution because it will be regulated meaning the females will be safer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we subsidize embryonic stem cell research,We should subsidize embryonic stem cell research,A02006,in favor of,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
