Argument ID,Conclusion,Stance,Premise
A01001,Entrapment should be legalized,in favor of,"if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?"
A01002,We should ban human cloning,in favor of,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.
A01003,We should abandon marriage,against,"marriage is the ultimate commitment to someone, if people want it they should be allowrd"
A01004,We should ban naturopathy,against,it provides a useful income for some people
A01005,We should ban fast food,in favor of,fast food should be banned because it is really bad for your health and is costly.
A01006,We should end the use of economic sanctions,against,sometimes economic sanctions are the only thing that will get the corrupt governments to take action
A01007,We should abolish capital punishment,against,capital punishment is sometimes the only option to keep criminals from committing more crimes.
A01008,We should ban factory farming,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income."
A01009,We should fight for the abolition of nuclear weapons,against,nuclear weapons help keep the peace in uncertain times
A01010,We should prohibit school prayer,against,it should be allowed if the student wants to pray as long as it is not interfering with his classes
A01011,We should abolish the three-strikes laws,in favor of,three strike laws can cause young people to be put away for life without a chance to straight out their life
A01012,The use of public defenders should be mandatory,in favor of,the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't
A01014,We should adopt an austerity regime,against,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.
A01016,We should adopt gender-neutral language,against,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words."
A01017,We should end affirmative action,in favor of,affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.
A01020,We should subsidize journalism,in favor of,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization."
A02001,Payday loans should be banned,in favor of,payday loans create a more impoverished society with their crazy payback rates.
A02002,Surrogacy should be banned,against,Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.
A02003,We should cancel pride parades,against,there are parades for every group and it is discrimination not to give gays their parade
A02004,We should ban cosmetic surgery for minors,in favor of,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.
A02005,We should legalize prostitution,in favor of,we should legalize prostitution because it will be regulated meaning the females will be safer
A02006,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.
A02007,We should ban algorithmic trading,in favor of,algorithms may not be 100% accurate and reflect the situation in the real market
A02008,We should legalize organ trade,in favor of,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times."
A02010,We should legalize cannabis,against,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.
A02012,We should ban telemarketing,in favor of,telemarketing doesn't differentiate between people who are interested in being called and those who aren't
A02014,We should abolish the right to keep and bear arms,against,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.
A02015,We should ban the Church of Scientology,in favor of,they are nothing but a cult and manipulate their members
A02017,We should legalize polygamy,against,polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.
A02018,Intelligence tests bring more harm than good,against,intelligence tests should continue to be used because they provide valuable data
A02020,We should subsidize Wikipedia,against,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized
A03001,We should introduce compulsory voting,in favor of,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy."
A03005,Social media brings more harm than good,in favor of,"it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues."
