Argument ID,Conclusion,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity,Question,entropy,max_prob,max_completion,num_premises
A01008,We should ban factory farming,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Should we ban factory farming,0.404,0.0369719894830846,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.",70.0
A04020,We should fight for the abolition of nuclear weapons,in favor of,Nuclear weapons should be abolished because they have to potential to cause so much destruction.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Should we fight for the abolition of nuclear weapons,0.406,0.2499509043054665,Nuclear weapons should be abolished because they have to potential to cause so much destruction.,72.0
A05067,We should ban cosmetic surgery for minors,in favor of,cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Should we ban cosmetic surgery for minors,0.551,0.053398838730395,cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.,72.0
A05073,We should ban whaling,in favor of,whaling is inhumane and unnecessary and killing the whale population.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Should we ban whaling,0.405,0.0339335773673198,whaling is inhumane and unnecessary and killing the whale population.,71.0
A07001,We should cancel pride parades,against,pride parades allow people to make connections and widen their social circles.,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,Should we cancel pride parades,0.413,0.0515015327400339,pride parades allow people to make connections and widen their social circles.,75.0
A09066,Intelligence tests bring more harm than good,against,iq tests are great for determining how smart a person is.   this not only helps with getting into colleges and jobs but a person with a low iq can show that they are a prime candidate for public assistance.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Do intelligence tests bring more harm than good?,0.406,0.082654455655577,iq tests are great for determining how smart a person is.   this not only helps with getting into colleges and jobs but a person with a low iq can show that they are a prime candidate for public assistance.,76.0
A09073,We should abolish zoos,against,Zoos are a great and cheap way for children to learn about animals from all over the world.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Should we abolish zoos,0.409,0.0319011345613205,Zoos are a great and cheap way for children to learn about animals from all over the world.,75.0
A10005,We should ban fast food,in favor of,"fast foods are extremely high in calories, and it's easy for a person to exceed the recommended number of calories when they eat fast foods",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Should we ban fast food,0.532,0.0524052574826247,"fast foods are extremely high in calories, and it's easy for a person to exceed the recommended number of calories when they eat fast foods",68.0
A12055,Entrapment should be legalized,against,using entrapment to catch people in the act of committing a crime shouldn't be legal because it forces people into a situation.,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,Should entrapment be legalized,0.425,0.0544169289462004,using entrapment to catch people in the act of committing a crime shouldn't be legal because it forces people into a situation.,69.0
A12100,We should abandon the use of school uniform,against,pupils having to dress in school uniform means no one is singled out for not being able to afford expensive clothes.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Should we abandon the use of school uniform,0.399,0.9886397685621744,pupils having to dress in school uniform means no one is singled out for not being able to afford expensive clothes.,76.0
