Argument ID	Conclusion	Stance	Premise	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity	Question	entropy	max_prob	max_completion	num_premises
A01001	Entrapment should be legalized	in favor of	if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should entrapment be legalized	0.5421695246055136	0.16528824475431544	sometimes entrapment is the only way to ensure that criminals are captured and charged, therefore we should legalise it.	69.0
A01002	We should ban human cloning	in favor of	we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should we ban human cloning	0.5751325109378964	0.2996815119579781	though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.	74.0
A01003	We should abandon marriage	against	marriage is the ultimate commitment to someone, if people want it they should be allowrd	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we abandon marriage	0.5559643172103498	0.6293161726568464	too many marriages now are falling apart.  if marriage was abandoned then it would be much easier to separate and less need for legal interference.	65.0
A01004	We should ban naturopathy	against	it provides a useful income for some people	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we ban naturopathy	0.5619804222503995	0.14405041854035933	people sometimes don't get medical treatment that can cause further illness or harm.	66.0
A01005	We should ban fast food	in favor of	fast food should be banned because it is really bad for your health and is costly.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we ban fast food	0.5521764121491235	0.37433814207829214	people should be able to choose what they want to eat	68.0
A01006	We should end the use of economic sanctions	against	sometimes economic sanctions are the only thing that will get the corrupt governments to take action	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should we end the use of economic sanctions	0.5546104726419927	0.07897766227373658	they only hurt the poorest of society and are an outdated punishment.	75.0
A01007	We should abolish capital punishment	against	capital punishment is sometimes the only option to keep criminals from committing more crimes.	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	Should we abolish capital punishment	0.551759790529841	0.1315241460209003	There is ample evidence showing that capital punishment does not constitute effective deterrence.	74.0
A01008	We should ban factory farming	against	factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	Should we ban factory farming	0.5608312597204292	0.12316985653615407	it's unethical on the animals and just down right cruel	70.0
A01009	We should fight for the abolition of nuclear weapons	against	nuclear weapons help keep the peace in uncertain times	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Should we fight for the abolition of nuclear weapons	0.5428792823972401	0.6778538468598422	no one wins with nuclear weapons. if two or more countries nuked each other parts of, if not all of, the entire world is just gone. it destroys everything and solves nothing.	72.0
A01010	We should prohibit school prayer	against	it should be allowed if the student wants to pray as long as it is not interfering with his classes	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Should we prohibit school prayer	0.5513643288689498	0.37147612903285265	if parents want their kids to pray at school so be it	70.0
A01011	We should abolish the three-strikes laws	in favor of	three strike laws can cause young people to be put away for life without a chance to straight out their life	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	Should we abolish the three-strikes laws	0.568303073621695	0.10806816001714932	a three-strikes system does not allow for people to be treated fairly as individuals and instead is used as a &quot;one-size-fits-all&quot; control method for minority populations.	74.0
A01012	The use of public defenders should be mandatory	in favor of	the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Should the use of public defenders be mandatory	0.5636646208223235	0.24460918162098488	not allowing a public defender for less well of defendants who do not meet the income requirements of the poor will make these people poor with outside legal fees.	71.0
